card,nationality,team,division,salary,position,hand,weight_lb,height_in,name,overall,aOVR,acceleration,agility,balance,endurance,speed,slap_shot_accuracy,slap_shot_power,wrist_shot_accuracy,wrist_shot_power,deking,offensive_awareness,hand_eye,passing,puck_control,body_checking,strength,aggression,durability,fighting_skill,defensive_awareness,shot_blocking,stick_checking,faceoffs,discipline,card_api_id,player_group_id,other_card_ids
BA,Sweden,FHC,,$0.8M,LW,LEFT,177.0,69,LINUS WEISSBACH,78,78.90,88,84,78,81,88,77,83,77,82,83,75,77,76,77,76,78,73,77,62,73,73,79,62,82,3370,G1442,
BA,USA,BOS,,$0.6M,C,LEFT,140.0,67,LIZ SCHEPERS,76,75.75,82,77,76,79,84,70,73,73,73,76,77,75,76,78,75,75,75,79,45,78,71,72,77,76,2315,G1443,
BA,Canada,TUC,,$0.6M,LD,LEFT,176.0,68,LLEYTON MOORE,76,76.70,88,84,72,79,88,72,84,72,83,80,73,75,76,76,70,70,70,85,65,73,74,75,50,80,3223,G1444,
BA,USA,ONT,,$0.6M,C,LEFT,218.0,78,LOGAN BROWN,76,76.50,78,76,81,75,80,76,82,76,82,76,71,76,71,71,76,84,76,66,76,71,76,76,76,71,3043,G1445,
BA,USA,UTA,Central,$3.0M,C,LEFT,191.0,72,LOGAN COOLEY,82,82.15,91,87,77,82,88,82,81,83,82,86,87,86,89,89,67,78,72,82,57,82,71,83,77,82,1600,G1446,3971
GB,USA,UTA,Central,$8.0M,C,LEFT,191.0,72,LOGAN COOLEY,87,86.85,93,92,82,87,90,87,86,88,87,91,92,91,94,94,72,83,77,87,62,87,76,88,82,87,3971,G1446,1600
BA,Canada,STL,Central,$0.7M,RD,RIGHT,220.0,75,LOGAN MAILLOUX,77,77.35,83,77,81,76,84,67,83,70,82,75,74,73,75,73,78,81,81,80,60,77,76,81,50,70,1549,G1447,
NG,Canada,SPR,,$3.0M,RD,RIGHT,212.0,75,LOGAN MAILLOUX,82,82.05,85,82,86,81,86,72,88,75,87,80,79,78,80,78,83,86,86,85,65,82,81,86,55,75,4226,G1448,
BA,Canada,COA,,$0.7M,C,RIGHT,180.0,72,LOGAN MORRISON,77,76.70,88,84,74,78,85,73,82,75,82,78,77,73,79,75,69,71,69,84,62,77,69,76,78,79,2840,G1449,
MARQ,USA,GRE,,$5.0M,C,RIGHT,209.0,73,LOGAN NELSON,84,84.60,88,96,83,84,88,80,96,83,95,83,81,83,81,81,83,83,80,90,80,81,82,81,92,85,3305,G1450,
BA,Canada,COL,Central,$0.8M,RW,RIGHT,175.0,72,LOGAN O&apos;CONNOR,78,78.80,84,81,78,80,84,78,80,78,79,81,78,78,78,78,77,78,78,79,62,78,71,79,59,77,1157,G1451,4164
GB,Canada,COL,Central,$3.0M,RW,RIGHT,175.0,72,LOGAN O&apos;CONNOR,82,82.60,86,85,82,84,86,82,84,82,83,85,82,82,82,82,81,82,82,83,66,82,75,83,63,81,4164,G1451,1157
BA,Canada,TOR,,$0.7M,RW,RIGHT,212.0,76,LOGAN SHAW,77,77.55,82,77,82,74,83,74,82,76,81,76,73,74,74,74,81,81,80,80,70,73,75,79,55,75,3205,G1452,
BA,Canada,CAR,Metropolitan,$1.0M,C,RIGHT,165.0,68,LOGAN STANKOVEN,80,80.30,85,84,81,78,85,80,82,81,82,83,83,82,83,82,70,77,75,80,57,79,72,82,79,90,1111,G1453,"3683,4298"
CHEL,Canada,CAR,Metropolitan,$4.0M,C,RIGHT,165.0,68,LOGAN STANKOVEN,83,83.10,86,87,84,81,86,83,85,84,85,86,86,85,86,85,73,80,78,83,60,82,75,85,82,93,3683,G1453,"1111,4298"
NG,Canada,CAR,Metropolitan,$6.0M,C,RIGHT,165.0,68,LOGAN STANKOVEN,85,85.00,87,89,86,83,87,85,87,86,87,88,88,87,88,87,75,82,80,85,62,84,77,87,84,95,4298,G1453,"1111,3683"
BA,Canada,WPG,Central,$0.6M,LD,LEFT,231.0,79,LOGAN STANLEY,76,75.85,79,75,84,73,80,69,83,68,82,68,68,66,72,72,80,84,81,74,72,76,77,80,49,69,1710,G1454,
ALUM,Canada,NYI,,$0.6M,C,LEFT,185.0,71,LORNE HENNING,76,76.30,80,75,80,78,80,74,78,74,78,72,76,73,76,76,76,79,74,72,73,77,76,74,84,72,2074,G1455,
BA,USA,HER,,$0.5M,RD,RIGHT,197.0,71,LOUIS BELPEDIO,75,76.10,82,78,81,76,82,64,82,66,82,76,67,70,71,71,80,81,83,81,56,72,79,79,56,80,2945,G1456,
BA,Canada,CHI,Central,$0.5M,RD,RIGHT,228.0,80,LOUIS CREVIER,75,75.50,78,77,85,73,79,61,84,61,84,66,69,67,69,69,82,81,82,82,72,77,82,84,47,77,1142,G1457,"4162,4503"
GB,Canada,CHI,Central,$2.0M,RD,RIGHT,228.0,80,LOUIS CREVIER,81,81.20,81,83,91,79,82,67,90,67,90,72,75,73,75,75,88,87,88,88,78,83,88,90,53,83,4162,G1457,"1142,4503"
COM,Canada,CHI,Central,$5.0M,RD,RIGHT,228.0,80,LOUIS CREVIER,84,84.10,83,86,94,82,84,70,93,70,93,75,78,76,78,78,91,90,91,91,81,86,91,93,56,86,4503,G1457,"1142,4162"
ALUM,Canada,PIT,,$0.8M,LW,RIGHT,185.0,71,LOWELL MACDONALD,78,78.60,81,79,82,81,81,76,80,76,80,76,77,77,78,74,81,81,79,76,67,79,80,74,64,79,2143,G1458,
BA,Czechia,RBK,,$0.7M,RW,RIGHT,187.0,74,LUBOS HORKY,77,77.15,84,82,76,74,85,77,79,76,81,77,74,78,77,77,74,75,74,77,70,76,69,78,64,73,3569,G1459,
ALUM,Canada,LAK,,$4.0M,LW,LEFT,215.0,73,LUC ROBITAILLE,83,83.75,90,88,83,81,87,87,86,89,86,85,90,85,85,85,78,81,78,80,57,81,75,75,55,83,1967,G1460,"3995,3996"
HUTC,Canada,LAK,Pacific,$7.0M,LW,LEFT,215.0,73,LUC ROBITAILLE,86,86.55,91,91,86,84,88,90,89,92,89,88,93,88,88,88,81,84,81,83,60,84,78,78,58,86,3995,G1460,"1967,3996"
HUTC,Canada,LAK,Pacific,$8.0M,LW,LEFT,215.0,73,LUC ROBITAILLE,87,87.55,92,92,87,85,89,91,90,93,90,89,94,89,89,89,82,85,82,84,61,85,79,79,59,87,3996,G1460,"1967,3995"
BA,Canada,SJS,Pacific,$0.5M,LD,LEFT,180.0,69,LUCA CAGNONI,75,74.80,81,79,74,76,81,68,81,69,80,75,76,72,76,75,66,74,66,81,58,79,75,73,51,76,1511,G1461,
BA,Canada,CLE,,$0.7M,C,LEFT,184.0,73,LUCA DEL BEL BELLUZ,77,77.35,85,82,78,77,84,78,82,80,82,78,80,80,78,77,66,73,71,81,64,74,67,75,76,79,2821,G1462,
BA,Sweden,SJS,Pacific,$0.7M,LD,LEFT,192.0,72,LUCAS CARLSSON,77,77.50,81,80,81,78,81,68,82,68,82,77,74,72,77,76,77,80,80,82,62,76,80,80,57,77,1503,G1463,
BA,Canada,CGY,,$0.6M,LW,LEFT,210.0,75,LUCAS CIONA,76,76.65,84,82,85,76,84,70,84,71,83,72,67,73,71,72,84,83,84,85,80,66,65,77,65,75,2776,G1464,
BA,Canada,LAV,,$0.6M,C,LEFT,217.0,73,LUCAS CONDOTTA,76,76.30,84,78,85,77,84,71,83,71,83,71,68,70,70,70,83,84,83,81,76,66,71,74,77,71,2972,G1465,
BA,Sweden,RBK,,$0.7M,LD,LEFT,187.0,72,LUCAS EKESTAHL JONSSON,77,77.40,80,78,80,77,83,78,80,80,80,74,76,78,73,78,73,78,70,73,63,76,78,78,73,73,3567,G1466,
BA,Sweden,FBK,,$0.7M,LW,RIGHT,165.0,72,LUCAS FORSELL,77,76.80,88,84,77,81,88,71,85,73,84,76,78,74,78,78,67,77,67,87,62,72,62,76,67,87,3396,G1467,
BA,Sweden,BIF,,$0.8M,C,LEFT,170.0,71,LUCAS PETTERSSON,78,78.50,86,87,78,81,84,76,86,78,86,82,85,79,76,76,70,73,72,87,62,77,64,74,82,92,3326,G1468,
BA,Sweden,DET,Atlantic,$5.0M,RW,RIGHT,188.0,71,LUCAS RAYMOND,84,84.60,88,87,80,84,89,87,85,89,86,88,89,88,88,88,77,80,79,82,67,82,77,81,62,82,1204,G1469,
XP,Sweden,DET,Atlantic,$5.0M,RW,RIGHT,186.0,71,LUCAS RAYMOND,84,84.80,88,87,80,84,89,87,85,89,86,88,89,88,88,88,77,82,80,83,67,83,77,81,62,82,4405,G1470,"4406,4407,4408,4409,4410"
XP,Sweden,DET,Atlantic,$6.0M,RW,RIGHT,186.0,71,LUCAS RAYMOND,85,85.70,88,88,81,85,89,88,86,90,87,89,90,89,89,89,78,83,81,84,68,84,78,82,63,83,4406,G1470,"4405,4407,4408,4409,4410"
XP,Sweden,DET,Atlantic,$7.0M,RW,RIGHT,186.0,71,LUCAS RAYMOND,86,86.70,89,89,82,86,90,89,87,91,88,90,91,90,90,90,79,84,82,85,69,85,79,83,64,84,4407,G1470,"4405,4406,4408,4409,4410"
XP,Sweden,DET,Atlantic,$8.0M,RW,RIGHT,186.0,71,LUCAS RAYMOND,87,87.60,89,90,83,87,90,90,88,92,89,91,92,91,91,91,80,85,83,86,70,86,80,84,65,85,4408,G1470,"4405,4406,4407,4409,4410"
XP,Sweden,DET,Atlantic,$9.0M,RW,RIGHT,186.0,71,LUCAS RAYMOND,88,88.60,90,91,84,88,91,91,89,93,90,92,93,92,92,92,81,86,84,87,71,87,81,85,66,86,4409,G1470,"4405,4406,4407,4408,4410"
XP,Sweden,DET,Atlantic,$10.0M,RW,RIGHT,186.0,71,LUCAS RAYMOND,89,89.60,91,92,85,89,92,92,90,94,91,93,94,93,93,93,82,87,85,88,72,88,82,86,67,87,4410,G1470,"4405,4406,4407,4408,4409"
ALUM,Canada,QUE,,$0.6M,C,RIGHT,200.0,71,LUCIEN DEBLOIS,76,76.50,79,76,75,79,80,73,78,73,78,78,77,78,78,78,77,77,75,66,64,76,74,71,75,46,2155,G1471,
CMG,Sweden,LHF,,$6.0M,RD,RIGHT,176.0,72,LUDVIG JANSSON,85,85.15,90,95,84,84,90,78,95,78,94,84,80,80,82,80,85,82,86,95,78,86,84,86,60,85,2500,G1472,3490
BA,Sweden,LHF,,$0.8M,RD,RIGHT,176.0,72,LUDVIG JANSSON,78,77.95,90,87,76,76,90,70,87,70,86,76,72,72,74,72,77,74,78,87,70,78,76,78,52,77,3490,G1472,2500
BA,Sweden,TIM,,$0.6M,C,LEFT,176.0,71,LUDVIG LEVINSSON,76,75.45,89,85,76,74,87,71,86,71,85,71,71,71,71,71,73,76,71,88,68,71,68,71,75,88,3615,G1473,
BA,Sweden,VLH,,$0.6M,C,LEFT,192.0,73,LUDVIG NILSSON,76,76.35,84,81,81,74,85,67,84,71,81,68,73,71,71,74,73,85,83,83,78,72,73,76,70,68,3636,G1474,
BA,Sweden,DIF,,$0.6M,LW,LEFT,198.0,75,LUDVIG RENSFELDT,76,76.65,79,78,79,74,83,72,78,76,81,72,72,77,80,81,76,78,79,79,71,72,70,76,73,76,3360,G1475,
BA,Canada,SA,,$0.7M,LD,LEFT,190.0,71,LUKAS CORMIER,77,77.15,87,83,75,74,86,74,81,75,80,81,77,78,78,77,70,75,70,80,60,72,72,78,55,78,2914,G1476,
BA,Sweden,VLH,,$0.7M,LW,LEFT,172.0,71,LUKAS ELVENES,77,77.90,86,82,79,81,86,76,83,77,83,80,74,77,76,76,67,82,77,82,62,71,67,78,67,82,3626,G1477,
BA,Sweden,TIM,,$0.7M,RD,RIGHT,185.0,73,LUKAS PILO,77,77.30,84,80,80,76,84,69,83,72,82,72,76,76,76,76,76,82,76,87,67,78,73,75,57,77,3609,G1478,
BA,Germany,CHI,Central,$0.9M,LW,LEFT,170.0,72,LUKAS REICHEL,79,79.70,84,82,80,77,84,78,82,79,82,82,79,79,79,79,78,80,79,80,62,76,75,80,60,75,1132,G1479,"3727,4069"
MARQ,Germany,CHI,Central,$2.0M,LW,LEFT,170.0,72,LUKAS REICHEL,81,81.60,85,84,82,79,85,80,84,81,84,84,81,81,81,81,80,82,81,82,64,78,77,82,62,77,3727,G1479,"1132,4069"
TRAN,Germany,VAN,Pacific,$5.0M,LW,LEFT,170.0,72,LUKAS REICHEL,84,84.40,86,87,85,82,86,83,87,84,87,87,84,84,84,84,83,85,84,85,67,81,80,85,65,80,4069,G1479,"1132,3727"
BA,Czechia,HV7,,$0.8M,C,LEFT,171.0,71,LUKAS ROUSEK,78,78.25,88,84,77,75,88,77,82,77,82,80,77,80,77,79,72,77,72,82,62,73,69,79,71,80,3433,G1480,
NG,Canada,EDM,,$3.0M,RW,RIGHT,174.0,70,LUKAS SAWCHYN,82,83.20,85,86,85,82,86,80,91,78,90,87,84,82,82,84,82,83,84,89,58,80,76,77,67,81,4155,G1481,
BA,Sweden,LIF,,$0.8M,C,LEFT,198.0,73,LUKAS VEJDEMO,78,77.85,85,81,83,75,84,74,83,74,82,76,70,74,73,74,80,82,80,81,66,72,76,79,78,79,3453,G1482,
FI,Canada,NSH,Central,$2.0M,RW,RIGHT,183.0,72,LUKE EVANGELISTA,81,80.65,84,83,81,74,84,80,82,80,82,83,84,82,85,85,72,80,77,82,59,83,70,82,62,87,1062,G1483,"1351,3745"
BA,Canada,NSH,Central,$0.9M,RW,RIGHT,183.0,72,LUKE EVANGELISTA,79,79.20,82,81,79,83,82,78,80,78,80,81,82,80,83,83,70,78,75,80,57,81,68,80,60,85,1351,G1483,"1062,3745"
TRAN,Canada,NSH,Central,$5.0M,RW,RIGHT,183.0,72,LUKE EVANGELISTA,84,83.65,87,86,84,77,87,83,85,83,85,86,87,85,88,88,75,83,80,85,62,86,73,85,65,90,3745,G1483,"1062,1351"
BA,Canada,COA,,$0.6M,C,LEFT,152.0,72,LUKE HENMAN,76,76.70,85,81,81,75,84,69,82,69,82,79,70,73,72,72,78,80,82,84,63,71,71,78,80,81,2845,G1484,
BA,USA,NJD,Metropolitan,$1.0M,LD,LEFT,198.0,74,LUKE HUGHES,80,79.85,85,81,78,81,88,76,83,77,82,78,81,75,82,82,77,78,77,78,62,80,78,78,48,78,1369,G1485,"2442,3304"
CAP,USA,NJD,Metropolitan,$3.0M,LD,LEFT,198.0,74,LUKE HUGHES,82,82.25,87,84,81,74,90,79,86,80,85,81,84,78,85,85,80,81,80,81,62,83,81,81,51,81,2442,G1485,"1369,3304"
TRAN,USA,NJD,Metropolitan,$5.0M,LD,LEFT,198.0,74,LUKE HUGHES,84,84.65,88,86,83,86,91,81,88,82,87,83,86,80,87,87,82,83,82,83,67,85,83,83,53,83,3304,G1485,"1369,2442"
BA,USA,TEX,,$0.5M,RD,RIGHT,185.0,74,LUKE KRYS,75,75.75,78,75,79,73,83,74,75,78,78,74,75,73,75,76,73,74,76,82,49,77,75,74,49,77,3195,G1486,
BEM,USA,FLA,Atlantic,$3.0M,RW,RIGHT,197.0,72,LUKE KUNIN,82,82.00,85,84,82,86,83,81,84,81,84,81,81,81,81,81,82,82,82,82,83,81,77,81,72,77,4049,G1487,
BA,USA,ÖRE,,$0.7M,RD,RIGHT,218.0,74,LUKE MARTIN,77,77.05,85,81,86,74,86,66,85,67,84,66,66,66,72,70,85,85,83,73,73,71,83,80,48,73,3542,G1488,
NG,Canada,BDN,,$3.0M,C,RIGHT,200.0,72,LUKE MISTELBACHER,82,82.40,83,89,86,82,83,79,88,81,90,86,84,80,80,84,80,82,80,90,74,79,76,76,73,79,4137,G1489,
ALUM,Canada,CBJ,,$0.8M,LD,LEFT,214.0,75,LUKE RICHARDSON,78,78.10,79,79,81,76,81,75,78,75,78,75,75,77,77,75,80,81,78,55,72,81,81,80,45,65,1848,G1490,
BA,USA,BRI,,$0.6M,RD,RIGHT,209.0,73,LUKE ROWE,76,76.05,87,83,75,79,87,67,83,75,83,75,73,70,73,73,72,73,72,85,68,74,73,74,50,82,2763,G1491,
BA,Canada,WPG,Central,$0.6M,RD,RIGHT,225.0,74,LUKE SCHENN,76,75.40,79,75,82,73,80,65,80,66,79,67,70,67,72,72,81,82,80,82,72,77,81,80,47,62,1709,G1492,4058
BEM,Canada,WPG,Central,$4.0M,RD,RIGHT,225.0,74,LUKE SCHENN,83,83.00,83,83,90,81,84,73,88,74,87,75,78,75,80,80,89,90,88,90,80,85,89,88,55,70,4058,G1492,1709
NG,Canada,MJ,,$5.0M,LW,LEFT,203.0,76,LYNDEN LAKOVIC,84,84.55,87,92,82,87,87,85,89,85,91,87,85,81,81,85,84,79,82,88,79,82,80,80,65,85,4125,G1493,
BA,Canada,CHA,,$0.7M,RW,RIGHT,205.0,75,MACKENZIE ENTWISTLE,77,77.35,84,76,81,74,84,73,82,76,81,77,73,75,74,74,82,82,79,80,75,73,72,75,61,75,2789,G1494,
BA,USA,ABB,,$0.7M,LW,LEFT,193.0,74,MACKENZIE MACEACHERN,77,77.90,81,78,84,75,82,73,82,74,82,79,75,77,75,75,79,81,80,80,73,74,74,78,60,75,2700,G1495,
CAP,Canada,CGY,Pacific,$3.0M,LD,RIGHT,206.0,72,MACKENZIE WEEGAR,82,82.20,85,83,83,82,88,76,83,76,83,81,81,76,83,82,83,83,81,81,62,85,85,85,51,76,1082,G1496,"1086,4311"
BA,Canada,CGY,Pacific,$2.0M,LD,RIGHT,206.0,72,MACKENZIE WEEGAR,81,81.20,84,82,82,81,87,75,82,75,82,80,80,75,82,81,82,82,80,80,61,84,84,84,50,75,1086,G1496,"1082,4311"
COM,Canada,CGY,Pacific,$6.0M,LD,RIGHT,206.0,72,MACKENZIE WEEGAR,85,85.50,86,86,86,86,89,83,84,84,85,83,83,82,86,84,88,86,84,84,65,88,88,89,54,79,4311,G1496,"1082,1086"
BA,USA,FLA,Atlantic,$0.6M,RW,RIGHT,180.0,71,MACKIE SAMOSKEVICH,76,75.90,85,78,76,76,86,73,79,75,79,76,76,77,77,77,67,77,67,77,64,75,68,74,64,72,1267,G1497,"2563,4120"
CMG,USA,FLA,Atlantic,$1.0M,RW,RIGHT,180.0,71,MACKIE SAMOSKEVICH,80,79.70,87,82,80,80,88,77,83,79,83,80,80,81,81,81,71,81,71,81,68,79,72,78,68,76,2563,G1497,"1267,4120"
NG,USA,FLA,Atlantic,$6.0M,RW,RIGHT,180.0,71,MACKIE SAMOSKEVICH,85,84.40,89,87,85,85,90,82,88,84,88,85,85,86,86,86,76,86,76,86,73,84,77,83,73,81,4120,G1497,"1267,2563"
BA,Canada,SJS,Pacific,$3.0M,C,LEFT,190.0,72,MACKLIN CELEBRINI,82,82.35,86,86,81,82,86,81,84,83,84,84,85,83,85,85,76,82,76,81,67,82,74,82,78,76,1497,G1498,"2435,2481"
XP,Canada,SJS,Pacific,$8.0M,C,LEFT,190.0,72,MACKLIN CELEBRINI,87,87.05,88,91,86,87,88,86,89,88,89,89,90,88,90,90,81,87,81,86,67,87,79,87,83,81,2435,G1498,"1497,2481"
ROOK,Canada,SJS,Pacific,$4.0M,C,LEFT,190.0,72,MACKLIN CELEBRINI,83,82.90,86,87,82,76,86,82,85,84,85,85,86,84,86,86,77,83,77,82,67,83,75,83,72,77,2481,G1498,"1497,2435"
NG,Canada,QUE,,$8.0M,C,LEFT,195.0,75,MADDOX DAGENAIS,87,87.25,88,93,89,84,87,86,96,84,96,86,87,84,83,86,84,90,89,91,79,87,83,83,87,86,4544,G1499,
BA,Germany,MIN,,$0.6M,LD,LEFT,145.0,67,MAE BATHERSON,76,77.15,81,79,76,77,81,79,74,75,73,80,78,82,80,77,74,76,80,83,37,76,73,72,45,80,2321,G1500,4347
FI,Germany,MIN,,$4.0M,LD,LEFT,145.0,67,MAE BATHERSON,83,84.15,88,86,83,84,88,86,81,82,80,87,85,89,87,84,81,83,87,90,44,83,80,79,52,87,4347,G1500,2321
BA,Canada,TOR,,$0.7M,LW,LEFT,132.0,66,MAGGIE CONNORS,77,77.60,81,76,74,81,81,76,78,79,77,77,82,76,82,78,75,78,75,79,44,75,75,76,74,78,2377,G1501,
BA,USA,MTL,,$0.7M,LD,LEFT,150.0,69,MAGGIE FLAHERTY,77,78.10,85,81,81,76,84,74,73,71,71,81,74,81,76,77,80,78,81,81,42,77,81,80,42,72,2334,G1502,
ALUM,Sweden,OTT,,$0.9M,LW,LEFT,195.0,74,MAGNUS ARVEDSON,79,79.70,82,79,80,83,83,76,81,76,81,78,79,82,78,78,80,80,79,82,69,83,76,80,61,81,2102,G1503,
BA,Sweden,FBK,,$0.8M,RD,RIGHT,187.0,72,MAGNUS NYGREN,78,78.35,84,78,77,78,84,78,82,79,82,79,78,79,80,77,76,74,77,82,64,74,74,77,68,87,3391,G1504,
BA,Sweden,TIM,,$0.7M,LW,LEFT,205.0,74,MAGNUS PAAJARVI,77,77.30,86,82,81,78,86,75,83,78,82,76,75,74,75,76,69,81,69,79,69,70,71,79,59,94,3608,G1505,
BA,Sweden,NY,,$0.7M,RD,RIGHT,146.0,65,MAJA NYLEN PERSSON,77,77.20,80,79,81,74,82,78,76,76,76,77,72,75,78,79,80,77,77,78,43,76,75,76,48,77,2350,G1506,
BA,Germany,TUC,,$0.6M,LD,LEFT,190.0,75,MAKSYMILIAN SZUBER,76,76.15,82,78,83,76,82,64,82,66,81,71,68,68,70,69,80,84,83,81,66,75,80,81,46,76,3226,G1507,
BA,USA,OTT,,$0.6M,RW,RIGHT,138.0,67,MANNON MCMAHON,76,76.20,82,79,77,75,80,73,75,74,74,74,76,77,75,75,77,76,79,87,45,76,76,74,45,78,2361,G1508,4340
CMG,USA,OTT,,$4.0M,RW,RIGHT,138.0,67,MANNON MCMAHON,83,83.25,89,86,84,83,87,80,82,81,81,81,83,84,82,82,84,83,86,94,52,83,83,81,52,85,4340,G1508,2361
BA,Sweden,SKE,,$0.8M,LD,LEFT,179.0,72,MANS FORSF-JALL,78,78.05,89,85,82,76,89,70,85,71,84,72,75,72,73,73,76,82,77,87,69,77,74,79,52,82,3577,G1509,
BA,Sweden,VLH,,$0.7M,LW,LEFT,181.0,71,MANUEL AGREN,77,77.25,87,81,80,74,87,70,83,69,82,73,78,77,77,75,73,78,78,88,67,78,68,77,71,83,3634,G1510,
BA,Russia,BOS,Atlantic,$0.5M,C,LEFT,176.0,71,MARAT KHUSNUTDINOV,75,75.10,83,81,71,76,83,73,81,76,81,76,78,76,77,77,64,71,64,79,57,74,66,74,75,76,1043,G1511,
COM,Russia,BOS,Atlantic,$4.0M,C,LEFT,184.0,71,MARAT KHUSNUTDINOV,83,84.00,87,87,79,85,87,84,86,86,87,84,86,84,85,85,83,83,77,87,65,82,81,82,83,84,4316,G1512,
BA,USA,MTL,Atlantic,$0.5M,LD,LEFT,188.0,71,MARC DEL GAIZO,75,75.70,82,79,76,72,83,69,79,71,78,76,72,71,74,73,76,78,76,78,57,74,77,78,53,73,1343,G1513,
BA,USA,NYI,Metropolitan,$0.5M,RW,RIGHT,195.0,74,MARC GATCOMB,75,74.65,79,78,80,76,79,69,80,69,79,71,77,70,70,70,75,79,75,80,68,75,67,75,55,80,1406,G1514,
BEM,USA,NYI,Metropolitan,$2.0M,RW,RIGHT,200.0,74,MARC GATCOMB,81,81.35,83,85,87,83,83,76,87,76,86,78,84,77,77,77,82,86,82,87,75,82,74,82,62,87,3951,G1515,
BA,USA,TOR,,$0.6M,RW,RIGHT,181.0,72,MARC JOHNSTONE,76,76.65,84,80,80,75,84,66,81,67,81,78,72,76,72,72,80,81,81,81,66,73,71,79,61,78,3207,G1516,
BA,USA,UTI,,$0.7M,C,RIGHT,202.0,72,MARC MCLAUGHLIN,77,77.35,85,81,79,75,85,73,81,75,81,80,76,75,76,76,71,81,71,81,61,73,73,80,60,86,3233,G1517,
BA,Canada,SPR,,$1.0M,LD,LEFT,180.0,75,MARC-ANDRE GAUDET,80,80.00,86,87,88,80,87,70,89,70,89,70,70,67,73,73,85,85,85,90,75,77,86,83,55,80,3138,G1518,
ALUM,Canada,LAK,,$5.0M,C,RIGHT,190.0,69,MARCEL DIONNE,84,84.80,89,85,82,84,90,87,86,88,88,90,93,88,91,88,76,85,73,76,58,81,76,76,88,65,1966,G1519,
ALUM,Germany,FLA,,$0.7M,C,LEFT,197.0,73,MARCEL GOC,77,76.80,83,79,78,77,83,74,80,75,79,75,79,74,78,78,69,77,69,79,61,79,72,78,82,80,1948,G1520,
BA,Czechia,RFD,,$0.6M,LW,LEFT,242.0,76,MARCEL MARCEL,76,76.05,84,80,88,78,83,65,85,66,84,71,65,68,68,67,84,87,84,84,62,67,66,81,67,84,3101,G1521,
BA,Austria,DET,Atlantic,$0.8M,C,LEFT,183.0,73,MARCO KASPER,78,77.65,83,81,72,76,83,75,81,77,80,80,82,78,80,80,69,79,69,79,60,78,70,80,74,74,1211,G1522,3684
CHEL,Austria,DET,Atlantic,$4.0M,C,LEFT,183.0,73,MARCO KASPER,83,82.35,85,86,77,81,85,80,86,82,85,85,87,83,85,85,74,84,74,84,65,83,75,85,79,79,3684,G1522,1211
NG,Austria,DET,Atlantic,$5.0M,C,LEFT,202.0,73,MARCO KASPER,84,83.35,86,87,78,82,86,81,87,83,86,86,88,84,86,86,75,85,75,85,66,84,76,86,80,80,4199,G1523,
BA,Austria,MIN,Central,$1.0M,C,LEFT,182.0,69,MARCO ROSSI,80,80.85,84,81,79,81,84,82,79,84,79,82,84,81,84,82,78,79,78,73,64,80,75,81,77,78,1299,G1524,2535
TOTW,Austria,MIN,Central,$3.0M,C,LEFT,182.0,69,MARCO ROSSI,82,82.85,86,83,81,83,86,84,81,86,81,84,86,83,86,84,80,81,80,75,66,82,77,83,79,80,2535,G1524,1299
BA,USA,MIN,Central,$0.9M,LW,LEFT,226.0,75,MARCUS FOLIGNO,79,79.35,77,78,85,79,81,76,83,78,82,75,76,76,76,76,85,85,85,80,78,77,75,82,60,65,1300,G1525,4451
COM,USA,MIN,Central,$6.0M,LW,LEFT,226.0,75,MARCUS FOLIGNO,85,85.35,85,84,91,85,85,82,89,84,88,81,82,82,82,82,91,91,91,86,84,83,81,88,66,71,4451,G1525,1300
BA,Sweden,TIM,,$0.9M,LD,LEFT,196.0,73,MARCUS HARDEGARD,79,78.80,84,79,84,77,84,71,85,72,83,75,74,76,79,76,79,82,80,87,68,80,77,79,52,82,3597,G1526,
BA,Sweden,MIN,Central,$0.7M,LW,LEFT,203.0,73,MARCUS JOHANSSON,77,77.35,83,79,77,81,83,75,79,76,79,77,76,75,76,76,74,77,74,67,57,77,75,78,67,87,1304,G1527,"2505,4206,4268,4269,4270,4271,4272,4273"
CMG,Sweden,MIN,Central,$1.0M,LW,LEFT,203.0,73,MARCUS JOHANSSON,80,80.15,84,82,80,84,84,78,82,79,82,80,79,78,79,79,77,80,77,70,60,80,78,81,70,90,2505,G1527,"1304,4206,4268,4269,4270,4271,4272,4273"
TOTW,Sweden,MIN,Central,$5.0M,LW,LEFT,203.0,73,MARCUS JOHANSSON,84,84.15,88,86,84,88,88,82,86,83,86,84,83,82,83,83,81,84,81,74,64,84,82,85,74,94,4206,G1527,"1304,2505,4268,4269,4270,4271,4272,4273"
MILE,Sweden,MIN,Central,$7.0M,LW,LEFT,203.0,73,MARCUS JOHANSSON,86,85.85,87,88,86,90,87,84,88,85,88,86,85,84,85,85,83,86,83,76,66,86,84,87,76,96,4268,G1527,"1304,2505,4206,4269,4270,4271,4272,4273"
MILE,Sweden,WSH,Metropolitan,$7.0M,LW,LEFT,203.0,73,MARCUS JOHANSSON,86,85.85,87,88,86,90,87,84,88,85,88,86,85,84,85,85,83,86,83,76,66,86,84,87,76,96,4269,G1527,"1304,2505,4206,4268,4270,4271,4272,4273"
